,win,lose,probability,WTeam,LTeam,WLoc,Correct,Incorrect
251,Washington Wizards,Orlando Magic,0.696664642100493,Washington Wizards,Orlando Magic,V,1,0
252,Memphis Grizzlies,New Orleans Pelicans,0.6408709056391606,New Orleans Pelicans,Memphis Grizzlies,H,0,1
253,Philadelphia 76ers,Indiana Pacers,0.778702731096825,Indiana Pacers,Philadelphia 76ers,H,0,1
254,Toronto Raptors,Detroit Pistons,0.7208041501086269,Detroit Pistons,Toronto Raptors,V,0,1
255,Boston Celtics,Cleveland Cavaliers,0.75278033429744,Cleveland Cavaliers,Boston Celtics,H,0,1
256,Los Angeles Clippers,Minnesota Timberwolves,0.8632751091964013,Los Angeles Clippers,Minnesota Timberwolves,H,1,0
257,Los Angeles Lakers,San Antonio Spurs,0.7068273806596168,Los Angeles Lakers,San Antonio Spurs,H,1,0
258,Milwaukee Bucks,Atlanta Hawks,0.6464092985873756,Atlanta Hawks,Milwaukee Bucks,H,0,1
259,Brooklyn Nets,Oklahoma City Thunder,0.8595503685350576,Brooklyn Nets,Oklahoma City Thunder,V,1,0
260,Phoenix Suns,Houston Rockets,0.916165872462938,Phoenix Suns,Houston Rockets,V,1,0
261,Golden State Warriors,Charlotte Hornets,0.6410281558370412,Charlotte Hornets,Golden State Warriors,H,0,1
262,Denver Nuggets,Portland Trail Blazers,0.5485904063779745,Denver Nuggets,Portland Trail Blazers,H,1,0
263,Los Angeles Clippers,Chicago Bulls,0.739318007341635,Chicago Bulls,Los Angeles Clippers,V,0,1
264,Washington Wizards,New Orleans Pelicans,0.515096767750348,Washington Wizards,New Orleans Pelicans,H,1,0
265,Sacramento Kings,Detroit Pistons,0.6151683313814029,Sacramento Kings,Detroit Pistons,V,1,0
266,Boston Celtics,Cleveland Cavaliers,0.75278033429744,Boston Celtics,Cleveland Cavaliers,V,1,0
267,New York Knicks,Indiana Pacers,0.691373370328278,New York Knicks,Indiana Pacers,H,1,0
268,Atlanta Hawks,Orlando Magic,0.8189577430954508,Atlanta Hawks,Orlando Magic,H,1,0
269,Miami Heat,Oklahoma City Thunder,0.7652511710742665,Miami Heat,Oklahoma City Thunder,V,1,0
270,Phoenix Suns,Minnesota Timberwolves,0.8864503661584655,Phoenix Suns,Minnesota Timberwolves,V,1,0
271,Memphis Grizzlies,Houston Rockets,0.8214080556992998,Memphis Grizzlies,Houston Rockets,H,1,0
272,Denver Nuggets,Dallas Mavericks,0.5699178988776814,Dallas Mavericks,Denver Nuggets,H,0,1
273,Portland Trail Blazers,Toronto Raptors,0.7055759993107484,Portland Trail Blazers,Toronto Raptors,H,1,0
274,Los Angeles Lakers,Chicago Bulls,0.702930412095996,Chicago Bulls,Los Angeles Lakers,V,0,1
275,Brooklyn Nets,Golden State Warriors,0.6306283562608739,Golden State Warriors,Brooklyn Nets,V,0,1
276,Philadelphia 76ers,Utah Jazz,0.5643710038275717,Utah Jazz,Philadelphia 76ers,H,0,1
277,Los Angeles Clippers,San Antonio Spurs,0.742912220904481,Los Angeles Clippers,San Antonio Spurs,H,1,0
278,Indiana Pacers,Detroit Pistons,0.6129322308020442,Detroit Pistons,Indiana Pacers,H,0,1
279,Washington Wizards,Charlotte Hornets,0.5581370138586839,Charlotte Hornets,Washington Wizards,H,0,1
280,New York Knicks,Orlando Magic,0.8041522609686141,Orlando Magic,New York Knicks,V,0,1
281,Milwaukee Bucks,Los Angeles Lakers,0.5384416758340216,Milwaukee Bucks,Los Angeles Lakers,H,1,0
282,Miami Heat,New Orleans Pelicans,0.5959163476024719,Miami Heat,New Orleans Pelicans,H,1,0
283,Brooklyn Nets,Cleveland Cavaliers,0.8444272525341221,Brooklyn Nets,Cleveland Cavaliers,H,1,0
284,Atlanta Hawks,Boston Celtics,0.5561100950256899,Atlanta Hawks,Boston Celtics,H,1,0
285,Oklahoma City Thunder,Houston Rockets,0.5834475554874683,Oklahoma City Thunder,Houston Rockets,H,1,0
286,Sacramento Kings,Minnesota Timberwolves,0.5914915743746592,Minnesota Timberwolves,Sacramento Kings,H,0,1
287,Portland Trail Blazers,Chicago Bulls,0.6818544871433366,Portland Trail Blazers,Chicago Bulls,H,1,0
288,Dallas Mavericks,Phoenix Suns,0.5114427894836333,Phoenix Suns,Dallas Mavericks,H,0,1
289,Miami Heat,Washington Wizards,0.6190449159298224,Miami Heat,Washington Wizards,H,1,0
290,Golden State Warriors,Cleveland Cavaliers,0.7394148555777766,Golden State Warriors,Cleveland Cavaliers,V,1,0
291,San Antonio Spurs,Minnesota Timberwolves,0.6070529612185389,Minnesota Timberwolves,San Antonio Spurs,H,0,1
292,Los Angeles Clippers,Memphis Grizzlies,0.6376289007860994,Memphis Grizzlies,Los Angeles Clippers,H,0,1
293,Utah Jazz,Toronto Raptors,0.7686566208037783,Utah Jazz,Toronto Raptors,H,1,0
294,Philadelphia 76ers,Denver Nuggets,0.6032161639958827,Philadelphia 76ers,Denver Nuggets,V,1,0
295,Golden State Warriors,Detroit Pistons,0.7440444243185884,Golden State Warriors,Detroit Pistons,V,1,0
296,Charlotte Hornets,Indiana Pacers,0.5069027708423968,Charlotte Hornets,Indiana Pacers,H,1,0
297,Brooklyn Nets,Orlando Magic,0.85173307702315,Brooklyn Nets,Orlando Magic,H,1,0
298,Los Angeles Lakers,Boston Celtics,0.5901134206053371,Boston Celtics,Los Angeles Lakers,H,0,1
299,Los Angeles Clippers,New Orleans Pelicans,0.7389805523687448,New Orleans Pelicans,Los Angeles Clippers,H,0,1
300,Milwaukee Bucks,Oklahoma City Thunder,0.8928070124496095,Milwaukee Bucks,Oklahoma City Thunder,H,1,0
301,Denver Nuggets,Chicago Bulls,0.7168910327058639,Chicago Bulls,Denver Nuggets,V,0,1
302,Sacramento Kings,Toronto Raptors,0.5534700780093201,Toronto Raptors,Sacramento Kings,V,0,1
303,Dallas Mavericks,Phoenix Suns,0.5114427894836333,Phoenix Suns,Dallas Mavericks,H,0,1
304,New York Knicks,Houston Rockets,0.8374955212879196,New York Knicks,Houston Rockets,H,1,0
305,Miami Heat,Washington Wizards,0.5663137085837133,Washington Wizards,Miami Heat,H,0,1
306,New Orleans Pelicans,Indiana Pacers,0.54373963276168,Indiana Pacers,New Orleans Pelicans,H,0,1
307,Boston Celtics,Oklahoma City Thunder,0.8321908649177713,Boston Celtics,Oklahoma City Thunder,H,1,0
308,Atlanta Hawks,Charlotte Hornets,0.7008375977174911,Atlanta Hawks,Charlotte Hornets,H,1,0
309,Memphis Grizzlies,Minnesota Timberwolves,0.7607890828538342,Minnesota Timberwolves,Memphis Grizzlies,H,0,1
310,Milwaukee Bucks,Orlando Magic,0.8595425176287819,Milwaukee Bucks,Orlando Magic,H,1,0
311,Utah Jazz,Sacramento Kings,0.8303912209893277,Utah Jazz,Sacramento Kings,V,1,0
312,Philadelphia 76ers,Portland Trail Blazers,0.6423706945703989,Portland Trail Blazers,Philadelphia 76ers,H,0,1
313,Dallas Mavericks,Los Angeles Clippers,0.5344317139875293,Los Angeles Clippers,Dallas Mavericks,H,0,1
314,Los Angeles Lakers,Detroit Pistons,0.8192354188461923,Los Angeles Lakers,Detroit Pistons,V,1,0
315,Denver Nuggets,Phoenix Suns,0.5020926708910297,Phoenix Suns,Denver Nuggets,H,0,1
316,New York Knicks,Chicago Bulls,0.6690300210782767,Chicago Bulls,New York Knicks,H,0,1
317,Golden State Warriors,Toronto Raptors,0.6318761994494362,Golden State Warriors,Toronto Raptors,H,1,0
318,Washington Wizards,Charlotte Hornets,0.5906206717949826,Charlotte Hornets,Washington Wizards,V,0,1
319,Brooklyn Nets,Cleveland Cavaliers,0.8520571235082296,Brooklyn Nets,Cleveland Cavaliers,V,1,0
320,Boston Celtics,Houston Rockets,0.8205752436884659,Boston Celtics,Houston Rockets,H,1,0
321,Atlanta Hawks,Oklahoma City Thunder,0.8602714261082349,Atlanta Hawks,Oklahoma City Thunder,H,1,0
322,New Orleans Pelicans,Minnesota Timberwolves,0.715963304525234,Minnesota Timberwolves,New Orleans Pelicans,V,0,1
323,Milwaukee Bucks,Orlando Magic,0.8595425176287819,Milwaukee Bucks,Orlando Magic,H,1,0
324,Chicago Bulls,Indiana Pacers,0.5528504416558464,Indiana Pacers,Chicago Bulls,V,0,1
325,Phoenix Suns,San Antonio Spurs,0.8333615665790739,Phoenix Suns,San Antonio Spurs,V,1,0
326,Utah Jazz,Memphis Grizzlies,0.5952517558334058,Memphis Grizzlies,Utah Jazz,V,0,1
327,Philadelphia 76ers,Sacramento Kings,0.7764263424811109,Philadelphia 76ers,Sacramento Kings,V,1,0
328,Miami Heat,Detroit Pistons,0.7586188376889623,Miami Heat,Detroit Pistons,V,1,0
329,Los Angeles Lakers,New York Knicks,0.5609389467750328,New York Knicks,Los Angeles Lakers,H,0,1
330,Denver Nuggets,Portland Trail Blazers,0.5940313759282553,Portland Trail Blazers,Denver Nuggets,H,0,1
331,Dallas Mavericks,Los Angeles Clippers,0.5344317139875293,Dallas Mavericks,Los Angeles Clippers,V,1,0
332,Los Angeles Lakers,Indiana Pacers,0.7044736301403524,Los Angeles Lakers,Indiana Pacers,V,1,0
333,Phoenix Suns,Cleveland Cavaliers,0.8937634329614408,Phoenix Suns,Cleveland Cavaliers,V,1,0
334,Charlotte Hornets,Orlando Magic,0.6507543703696491,Charlotte Hornets,Orlando Magic,V,1,0
335,Brooklyn Nets,Boston Celtics,0.6520932337419838,Brooklyn Nets,Boston Celtics,V,1,0
336,Utah Jazz,Oklahoma City Thunder,0.90725863641863,Utah Jazz,Oklahoma City Thunder,V,1,0
337,Washington Wizards,New Orleans Pelicans,0.5110113811638534,New Orleans Pelicans,Washington Wizards,H,0,1
338,Miami Heat,Minnesota Timberwolves,0.7400382105187263,Minnesota Timberwolves,Miami Heat,H,0,1
339,Milwaukee Bucks,Detroit Pistons,0.8864632525523332,Milwaukee Bucks,Detroit Pistons,H,1,0
340,Memphis Grizzlies,Toronto Raptors,0.6707247901664453,Toronto Raptors,Memphis Grizzlies,V,0,1
341,Chicago Bulls,Houston Rockets,0.6878413740370104,Houston Rockets,Chicago Bulls,H,0,1
342,Atlanta Hawks,San Antonio Spurs,0.7301149726135873,Atlanta Hawks,San Antonio Spurs,V,1,0
343,Portland Trail Blazers,Sacramento Kings,0.6527388210818317,Sacramento Kings,Portland Trail Blazers,H,0,1
344,Philadelphia 76ers,Golden State Warriors,0.7149173783993857,Golden State Warriors,Philadelphia 76ers,H,0,1
345,Los Angeles Clippers,Detroit Pistons,0.8792049732256655,Los Angeles Clippers,Detroit Pistons,H,1,0
346,Chicago Bulls,Orlando Magic,0.6599839624948296,Chicago Bulls,Orlando Magic,V,1,0
347,Phoenix Suns,New York Knicks,0.7084231031615738,Phoenix Suns,New York Knicks,V,1,0
348,Charlotte Hornets,Minnesota Timberwolves,0.6758957214025065,Charlotte Hornets,Minnesota Timberwolves,H,1,0
349,Washington Wizards,Oklahoma City Thunder,0.6807972026517237,Washington Wizards,Oklahoma City Thunder,V,1,0
350,Atlanta Hawks,Memphis Grizzlies,0.5955835281917612,Atlanta Hawks,Memphis Grizzlies,V,1,0
351,Indiana Pacers,Toronto Raptors,0.5502150619890895,Indiana Pacers,Toronto Raptors,H,1,0
352,Boston Celtics,San Antonio Spurs,0.6441367778700369,San Antonio Spurs,Boston Celtics,H,0,1
353,Utah Jazz,New Orleans Pelicans,0.6950412525451022,New Orleans Pelicans,Utah Jazz,V,0,1
354,Milwaukee Bucks,Denver Nuggets,0.6188392890621187,Milwaukee Bucks,Denver Nuggets,V,1,0
355,Portland Trail Blazers,Golden State Warriors,0.5757930773959624,Golden State Warriors,Portland Trail Blazers,H,0,1
356,Los Angeles Lakers,Sacramento Kings,0.720074502754233,Sacramento Kings,Los Angeles Lakers,V,0,1
357,Philadelphia 76ers,Minnesota Timberwolves,0.8621002725465841,Minnesota Timberwolves,Philadelphia 76ers,V,0,1
358,Phoenix Suns,Brooklyn Nets,0.6345832173863583,Phoenix Suns,Brooklyn Nets,V,1,0
359,New York Knicks,Atlanta Hawks,0.503149200337206,New York Knicks,Atlanta Hawks,V,1,0
360,Charlotte Hornets,Houston Rockets,0.6790001735393244,Houston Rockets,Charlotte Hornets,H,0,1
361,Cleveland Cavaliers,Orlando Magic,0.542501219339472,Cleveland Cavaliers,Orlando Magic,H,1,0
362,Miami Heat,Chicago Bulls,0.6161581884353647,Miami Heat,Chicago Bulls,V,1,0
363,Dallas Mavericks,Washington Wizards,0.6666795298730991,Washington Wizards,Dallas Mavericks,V,0,1
364,Utah Jazz,New Orleans Pelicans,0.6950412525451022,Utah Jazz,New Orleans Pelicans,H,1,0
365,Los Angeles Clippers,Golden State Warriors,0.629007117362233,Golden State Warriors,Los Angeles Clippers,V,0,1
366,Milwaukee Bucks,Indiana Pacers,0.7898236908650847,Milwaukee Bucks,Indiana Pacers,V,1,0
367,Boston Celtics,Toronto Raptors,0.6408547665089793,Boston Celtics,Toronto Raptors,V,1,0
368,Memphis Grizzlies,Sacramento Kings,0.6644789570748378,Memphis Grizzlies,Sacramento Kings,H,1,0
369,Los Angeles Lakers,Detroit Pistons,0.85860936299486,Los Angeles Lakers,Detroit Pistons,H,1,0
370,Philadelphia 76ers,Orlando Magic,0.849589805084223,Philadelphia 76ers,Orlando Magic,H,1,0
371,Denver Nuggets,Miami Heat,0.6199238220951581,Denver Nuggets,Miami Heat,V,1,0
372,Indiana Pacers,Minnesota Timberwolves,0.5892097667517725,Minnesota Timberwolves,Indiana Pacers,H,0,1
373,Houston Rockets,Oklahoma City Thunder,0.5540568341654994,Houston Rockets,Oklahoma City Thunder,H,1,0
374,Chicago Bulls,Charlotte Hornets,0.5399360780296567,Chicago Bulls,Charlotte Hornets,H,1,0
375,Washington Wizards,San Antonio Spurs,0.5440289492336345,San Antonio Spurs,Washington Wizards,H,0,1
376,Dallas Mavericks,Cleveland Cavaliers,0.8181125749626039,Cleveland Cavaliers,Dallas Mavericks,V,0,1
377,Utah Jazz,Portland Trail Blazers,0.5878150157486625,Utah Jazz,Portland Trail Blazers,H,1,0
378,Los Angeles Clippers,New Orleans Pelicans,0.6850691129169351,New Orleans Pelicans,Los Angeles Clippers,V,0,1
379,Memphis Grizzlies,Toronto Raptors,0.6676061789903421,Memphis Grizzlies,Toronto Raptors,V,1,0
380,Brooklyn Nets,New York Knicks,0.5563496022246375,Brooklyn Nets,New York Knicks,H,1,0
381,Los Angeles Lakers,Sacramento Kings,0.7017261536088691,Los Angeles Lakers,Sacramento Kings,V,1,0
382,Portland Trail Blazers,Detroit Pistons,0.8461610520135161,Portland Trail Blazers,Detroit Pistons,H,1,0
383,Phoenix Suns,Golden State Warriors,0.6502471429386549,Phoenix Suns,Golden State Warriors,H,1,0
384,Washington Wizards,Minnesota Timberwolves,0.7551002399621236,Washington Wizards,Minnesota Timberwolves,H,1,0
385,Denver Nuggets,Orlando Magic,0.8589003367552792,Orlando Magic,Denver Nuggets,H,0,1
386,Atlanta Hawks,Indiana Pacers,0.7103370880849201,Atlanta Hawks,Indiana Pacers,V,1,0
387,Miami Heat,Cleveland Cavaliers,0.7851447053413866,Cleveland Cavaliers,Miami Heat,V,0,1
388,Philadelphia 76ers,Boston Celtics,0.6800200413869778,Boston Celtics,Philadelphia 76ers,H,0,1
389,Oklahoma City Thunder,Houston Rockets,0.5834475554874683,Houston Rockets,Oklahoma City Thunder,V,0,1
390,Dallas Mavericks,New Orleans Pelicans,0.7419603063820104,Dallas Mavericks,New Orleans Pelicans,V,1,0
391,Milwaukee Bucks,Charlotte Hornets,0.7601465362448857,Milwaukee Bucks,Charlotte Hornets,H,1,0
392,Los Angeles Clippers,Sacramento Kings,0.7550937842092973,Sacramento Kings,Los Angeles Clippers,V,0,1
393,Milwaukee Bucks,Toronto Raptors,0.8034121717102752,Toronto Raptors,Milwaukee Bucks,H,0,1
394,New York Knicks,Chicago Bulls,0.6711901217410714,Chicago Bulls,New York Knicks,V,0,1
395,Memphis Grizzlies,Oklahoma City Thunder,0.8329807359993116,Memphis Grizzlies,Oklahoma City Thunder,H,1,0
396,Phoenix Suns,Detroit Pistons,0.8886563242926385,Phoenix Suns,Detroit Pistons,H,1,0
397,Portland Trail Blazers,San Antonio Spurs,0.6859043911511886,San Antonio Spurs,Portland Trail Blazers,V,0,1
398,Washington Wizards,Cleveland Cavaliers,0.7246868259952621,Cleveland Cavaliers,Washington Wizards,V,0,1
399,Miami Heat,Indiana Pacers,0.6230793190341067,Miami Heat,Indiana Pacers,V,1,0
400,Brooklyn Nets,Minnesota Timberwolves,0.864093793404744,Brooklyn Nets,Minnesota Timberwolves,H,1,0
401,Philadelphia 76ers,Atlanta Hawks,0.6312428424681078,Philadelphia 76ers,Atlanta Hawks,V,1,0
402,Orlando Magic,Houston Rockets,0.522776324382155,Houston Rockets,Orlando Magic,H,0,1
403,Dallas Mavericks,New Orleans Pelicans,0.6447834901838365,New Orleans Pelicans,Dallas Mavericks,V,0,1
404,Utah Jazz,Boston Celtics,0.6234038506951705,Utah Jazz,Boston Celtics,H,1,0
405,Los Angeles Clippers,Los Angeles Lakers,0.5753162144527602,Los Angeles Clippers,Los Angeles Lakers,V,1,0
406,Phoenix Suns,Golden State Warriors,0.7636367614392261,Golden State Warriors,Phoenix Suns,H,0,1
407,Denver Nuggets,New York Knicks,0.6057282209514153,Denver Nuggets,New York Knicks,V,1,0
408,Milwaukee Bucks,Miami Heat,0.6271768844649154,Milwaukee Bucks,Miami Heat,H,1,0
409,Brooklyn Nets,Chicago Bulls,0.7406559437958478,Chicago Bulls,Brooklyn Nets,V,0,1
410,Golden State Warriors,San Antonio Spurs,0.6100021915530642,San Antonio Spurs,Golden State Warriors,V,0,1
411,Dallas Mavericks,Memphis Grizzlies,0.5394457553928004,Memphis Grizzlies,Dallas Mavericks,V,0,1
412,Los Angeles Clippers,Sacramento Kings,0.7430441820176666,Sacramento Kings,Los Angeles Clippers,H,0,1
413,Portland Trail Blazers,Boston Celtics,0.5442026737627063,Boston Celtics,Portland Trail Blazers,V,0,1
414,Utah Jazz,Cleveland Cavaliers,0.902020575563399,Utah Jazz,Cleveland Cavaliers,V,1,0
415,Washington Wizards,Toronto Raptors,0.5404823173415543,Toronto Raptors,Washington Wizards,H,0,1
416,Atlanta Hawks,Charlotte Hornets,0.7008375977174911,Charlotte Hornets,Atlanta Hawks,V,0,1
417,New Orleans Pelicans,Houston Rockets,0.7417927165782655,Houston Rockets,New Orleans Pelicans,H,0,1
418,Washington Wizards,Indiana Pacers,0.5195872008051334,Indiana Pacers,Washington Wizards,H,0,1
419,Detroit Pistons,Oklahoma City Thunder,0.6117069277796479,Oklahoma City Thunder,Detroit Pistons,V,0,1
420,Philadelphia 76ers,Charlotte Hornets,0.804291927426423,Philadelphia 76ers,Charlotte Hornets,V,1,0
421,Memphis Grizzlies,Miami Heat,0.5123967394571246,Memphis Grizzlies,Miami Heat,V,1,0
422,Atlanta Hawks,Minnesota Timberwolves,0.8085397860578376,Atlanta Hawks,Minnesota Timberwolves,V,1,0
423,Milwaukee Bucks,Cleveland Cavaliers,0.8525548868857603,Milwaukee Bucks,Cleveland Cavaliers,H,1,0
424,Denver Nuggets,Chicago Bulls,0.7357013070868647,Chicago Bulls,Denver Nuggets,H,0,1
425,Phoenix Suns,San Antonio Spurs,0.7601179639887939,Phoenix Suns,San Antonio Spurs,H,1,0
426,Los Angeles Clippers,Portland Trail Blazers,0.5993023433729081,Los Angeles Clippers,Portland Trail Blazers,V,1,0
427,Golden State Warriors,Orlando Magic,0.7553710292857451,Golden State Warriors,Orlando Magic,H,1,0
428,Brooklyn Nets,Dallas Mavericks,0.5892625387852042,Brooklyn Nets,Dallas Mavericks,V,1,0
429,New York Knicks,San Antonio Spurs,0.6966405850402537,New York Knicks,San Antonio Spurs,V,1,0
430,Los Angeles Lakers,Boston Celtics,0.568628478889915,Los Angeles Lakers,Boston Celtics,H,1,0
431,New York Knicks,Indiana Pacers,0.675499887446951,Indiana Pacers,New York Knicks,H,0,1
432,Washington Wizards,Detroit Pistons,0.6727990197704026,Washington Wizards,Detroit Pistons,V,1,0
433,Chicago Bulls,Cleveland Cavaliers,0.6291243894377541,Cleveland Cavaliers,Chicago Bulls,H,0,1
434,Philadelphia 76ers,Charlotte Hornets,0.804291927426423,Philadelphia 76ers,Charlotte Hornets,V,1,0
435,Toronto Raptors,Oklahoma City Thunder,0.7336225653337506,Oklahoma City Thunder,Toronto Raptors,V,0,1
436,Milwaukee Bucks,Miami Heat,0.6813488978511629,Miami Heat,Milwaukee Bucks,H,0,1
437,Denver Nuggets,New Orleans Pelicans,0.7347337018558712,Denver Nuggets,New Orleans Pelicans,V,1,0
438,Utah Jazz,Minnesota Timberwolves,0.8952092672059876,Utah Jazz,Minnesota Timberwolves,V,1,0
439,Dallas Mavericks,Memphis Grizzlies,0.6412039052411276,Dallas Mavericks,Memphis Grizzlies,V,1,0
440,Brooklyn Nets,Houston Rockets,0.882094095410189,Houston Rockets,Brooklyn Nets,H,0,1
441,Sacramento Kings,Orlando Magic,0.6903793706401214,Sacramento Kings,Orlando Magic,H,1,0
442,Portland Trail Blazers,Golden State Warriors,0.5757930773959624,Golden State Warriors,Portland Trail Blazers,H,0,1
443,Los Angeles Clippers,Boston Celtics,0.6123955379090114,Los Angeles Clippers,Boston Celtics,H,1,0
444,Utah Jazz,Philadelphia 76ers,0.6590151524367256,Utah Jazz,Philadelphia 76ers,V,1,0
445,Los Angeles Lakers,Memphis Grizzlies,0.5887420480394024,Memphis Grizzlies,Los Angeles Lakers,H,0,1
446,Denver Nuggets,San Antonio Spurs,0.7597472639201548,San Antonio Spurs,Denver Nuggets,H,0,1
447,Dallas Mavericks,Indiana Pacers,0.7484793635826912,Indiana Pacers,Dallas Mavericks,H,0,1
448,Charlotte Hornets,Sacramento Kings,0.5045442490492354,Charlotte Hornets,Sacramento Kings,H,1,0
449,New York Knicks,Toronto Raptors,0.6936124744792861,Toronto Raptors,New York Knicks,H,0,1
450,Brooklyn Nets,Atlanta Hawks,0.6015533072169728,Brooklyn Nets,Atlanta Hawks,V,1,0
451,Los Angeles Lakers,Oklahoma City Thunder,0.8245873309062933,Los Angeles Lakers,Oklahoma City Thunder,V,1,0
452,New Orleans Pelicans,Detroit Pistons,0.743966137336395,New Orleans Pelicans,Detroit Pistons,H,1,0
453,Minnesota Timberwolves,Cleveland Cavaliers,0.5469834550349422,Cleveland Cavaliers,Minnesota Timberwolves,V,0,1
454,Milwaukee Bucks,Houston Rockets,0.9005869451005566,Milwaukee Bucks,Houston Rockets,V,1,0
455,Phoenix Suns,Boston Celtics,0.6340332741785936,Phoenix Suns,Boston Celtics,H,1,0
456,Los Angeles Clippers,Orlando Magic,0.8508527853311038,Los Angeles Clippers,Orlando Magic,H,1,0
457,Utah Jazz,Washington Wizards,0.7966929165218927,Utah Jazz,Washington Wizards,V,1,0
458,Miami Heat,Chicago Bulls,0.6578524903804238,Miami Heat,Chicago Bulls,H,1,0
459,Memphis Grizzlies,Houston Rockets,0.8214080556992998,Memphis Grizzlies,Houston Rockets,H,1,0
460,Sacramento Kings,Cleveland Cavaliers,0.6094313509779807,Cleveland Cavaliers,Sacramento Kings,H,0,1
461,Denver Nuggets,San Antonio Spurs,0.7597472639201548,Denver Nuggets,San Antonio Spurs,V,1,0
462,Philadelphia 76ers,Golden State Warriors,0.6266897744443458,Philadelphia 76ers,Golden State Warriors,H,1,0
463,Milwaukee Bucks,New York Knicks,0.6682196455253911,Milwaukee Bucks,New York Knicks,V,1,0
464,Brooklyn Nets,Detroit Pistons,0.8550777126872162,Brooklyn Nets,Detroit Pistons,V,1,0
465,New Orleans Pelicans,San Antonio Spurs,0.5679743034879727,San Antonio Spurs,New Orleans Pelicans,H,0,1
466,Dallas Mavericks,Oklahoma City Thunder,0.8544038789254302,Dallas Mavericks,Oklahoma City Thunder,V,1,0
467,Portland Trail Blazers,Minnesota Timberwolves,0.8267322957462816,Minnesota Timberwolves,Portland Trail Blazers,V,0,1
468,Los Angeles Lakers,Orlando Magic,0.8263777267331172,Los Angeles Lakers,Orlando Magic,H,1,0
469,Toronto Raptors,Sacramento Kings,0.5223594843232596,Toronto Raptors,Sacramento Kings,H,1,0
470,Golden State Warriors,Indiana Pacers,0.6045867423198705,Golden State Warriors,Indiana Pacers,V,1,0
471,Miami Heat,Cleveland Cavaliers,0.7541657836082108,Cleveland Cavaliers,Miami Heat,H,0,1
472,Milwaukee Bucks,Boston Celtics,0.6941523673572902,Boston Celtics,Milwaukee Bucks,H,0,1
473,Atlanta Hawks,Houston Rockets,0.85024975435011,Houston Rockets,Atlanta Hawks,V,0,1
474,Philadelphia 76ers,Memphis Grizzlies,0.6787857372337368,Memphis Grizzlies,Philadelphia 76ers,H,0,1
475,Dallas Mavericks,Charlotte Hornets,0.7114246862815623,Dallas Mavericks,Charlotte Hornets,H,1,0
476,Denver Nuggets,Washington Wizards,0.6815381562538927,Denver Nuggets,Washington Wizards,H,1,0
477,Phoenix Suns,Los Angeles Clippers,0.6361941824619443,Los Angeles Clippers,Phoenix Suns,H,0,1
478,New York Knicks,Golden State Warriors,0.5496125891894994,Golden State Warriors,New York Knicks,V,0,1
479,Brooklyn Nets,Toronto Raptors,0.761526503216805,Brooklyn Nets,Toronto Raptors,H,1,0
480,Phoenix Suns,Portland Trail Blazers,0.6982552104839789,Phoenix Suns,Portland Trail Blazers,V,1,0
481,Philadelphia 76ers,Miami Heat,0.6082629667141738,Miami Heat,Philadelphia 76ers,V,0,1
482,Atlanta Hawks,Orlando Magic,0.8389042951050798,Atlanta Hawks,Orlando Magic,V,1,0
483,Cleveland Cavaliers,Houston Rockets,0.5981290105206893,Cleveland Cavaliers,Houston Rockets,H,1,0
484,Los Angeles Lakers,Dallas Mavericks,0.5242556568699723,Los Angeles Lakers,Dallas Mavericks,V,1,0
485,New Orleans Pelicans,Oklahoma City Thunder,0.7015010139197123,New Orleans Pelicans,Oklahoma City Thunder,V,1,0
486,Milwaukee Bucks,Indiana Pacers,0.7695180987373241,Milwaukee Bucks,Indiana Pacers,H,1,0
487,San Antonio Spurs,Charlotte Hornets,0.5081330953559391,Charlotte Hornets,San Antonio Spurs,V,0,1
488,Denver Nuggets,Minnesota Timberwolves,0.8493392013308587,Minnesota Timberwolves,Denver Nuggets,V,0,1
489,Los Angeles Clippers,Utah Jazz,0.51894377382198,Utah Jazz,Los Angeles Clippers,H,0,1
490,Washington Wizards,Sacramento Kings,0.5163010486689985,Sacramento Kings,Washington Wizards,H,0,1
491,Portland Trail Blazers,Memphis Grizzlies,0.5147386080727063,Memphis Grizzlies,Portland Trail Blazers,V,0,1
492,Indiana Pacers,Detroit Pistons,0.7373711487880916,Indiana Pacers,Detroit Pistons,H,1,0
493,Philadelphia 76ers,Brooklyn Nets,0.5740990997704513,Brooklyn Nets,Philadelphia 76ers,H,0,1
494,New York Knicks,Houston Rockets,0.8338368162433993,New York Knicks,Houston Rockets,V,1,0
495,Phoenix Suns,Washington Wizards,0.7243914823452191,Phoenix Suns,Washington Wizards,H,1,0
496,Miami Heat,Orlando Magic,0.7782876395676371,Miami Heat,Orlando Magic,V,1,0
497,Boston Celtics,Golden State Warriors,0.519900692441823,Golden State Warriors,Boston Celtics,V,0,1
498,Denver Nuggets,Atlanta Hawks,0.5823772777957731,Denver Nuggets,Atlanta Hawks,V,1,0
499,Milwaukee Bucks,New Orleans Pelicans,0.7840670720441353,New Orleans Pelicans,Milwaukee Bucks,H,0,1
500,Utah Jazz,San Antonio Spurs,0.7517165867031376,San Antonio Spurs,Utah Jazz,V,0,1
501,Memphis Grizzlies,Sacramento Kings,0.645729693795669,Memphis Grizzlies,Sacramento Kings,V,1,0
